external_id,deal_name,account_name,owner,service_line,market_segment,stage,forecast_category,stage_probability_pct,deal_entry_date,expected_close_date,closed_date,timeline,term_years,mw,capacity_basis,site_count,sqft,price_per_sqft,scan_frequency,flags_json,raw_revenue_tcv,annual_revenue_acv,weighted_revenue,low_estimate,selected_estimate,high_estimate,source_file,review_notes
REN-0041,Siemens O&M - First 10 sites,First Wind Solar Group,Megan Smethurst,Renewables,Distributed Generation / C&I Solar,CLOSED_WON,CLOSED,100,2022-09-01,2022-09-01,2022-09-01,,,,,10,,,,{},,,,,,,NAES_CRM_Opportunities_Import.csv,
REN-0042,Sunrise 20 MW Solar DG CA Portfolio,,Megan Smethurst,Renewables,Distributed Generation / C&I Solar,CLOSED_WON,CLOSED,100,2022-01-01,2022-01-01,2022-01-01,,,20,MWDC,,,,,{},480000,480000,480000,420000,480000,540000,NAES_CRM_Opportunities_Import.csv,account name needs review; account inferred from opportunity name
REN-0043,Tranche 1 - Bay4 Scope: 59.24 MWdc DG Solar & BESS Portfolio - Monitoring/ROC Services,Wind Energy Services Company,Megan Smethurst,Renewables,BESS,CLOSED_WON,CLOSED,100,2024-07-16,2024-07-16,2024-07-16,,,59.24,MWDC,,,,,{},1421760,1421760,1421760,1244040,1421760,1599480,NAES_CRM_Opportunities_Import.csv,
REN-0044,Tranche 2-A - Bay4 Scope: 9.96 MWdc DG Solar & BESS Portfolio - Monitoring/ROC Services,Wind Energy Services Company,Megan Smethurst,Renewables,BESS,CLOSED_WON,CLOSED,100,2024-07-16,2024-07-16,2024-07-16,,,9.96,MWDC,,,,,{},239040,239040,239040,209160,239040,268920,NAES_CRM_Opportunities_Import.csv,
REN-0045,UNO Solar 1.7MW,,Megan Smethurst,Renewables,Distributed Generation / C&I Solar,CLOSED_WON,CLOSED,100,2024-06-01,2024-06-01,2024-06-01,,,1.7,MWDC,,,,,{},40800,40800,40800,35700,40800,45900,NAES_CRM_Opportunities_Import.csv,account name needs review; account inferred from opportunity name
REN-0046,Total - 340 MW / 600 MW Solar + 2 x 150 MW Storage TX Projects,Total Renewables,Megan Smethurst,Renewables,BESS,CLOSED_WON,CLOSED,100,2023-04-01,2023-04-01,2023-04-01,,,340,MWDC,,,,,{},8160000,8160000,8160000,7140000,8160000,9180000,NAES_CRM_Opportunities_Import.csv,
REN-0047,NERC Registration and LTNS for 50 MW BESS in ERCOT,BESS,Megan Smethurst,Renewables,BESS,COMMERCIALS,BEST_CASE,60,2026-09-01,2026-09-01,,,,50,MWDC,,,,,{},1200000,1200000,720000,1050000,1200000,1350000,NAES_CRM_Opportunities_Import.csv,
REN-0048,Amberjack 415 MW Solar Portfolio,,Megan Smethurst,Renewables,Utility-Scale Solar,CLOSED_WON,CLOSED,100,2022-02-01,2022-02-01,2022-02-01,,,415,MWDC,,,,,{},9960000,9960000,9960000,8715000,9960000,11205000,NAES_CRM_Opportunities_Import.csv,account name needs review; account inferred from opportunity name
REN-0049,Novis Georgia 254 MW Solar Project,"Novis Renewables, Llc",Megan Smethurst,Renewables,Utility-Scale Solar,CLOSED_WON,CLOSED,100,2023-07-01,2023-07-01,2023-07-01,,,254,MWDC,,,,,{},6096000,6096000,6096000,5334000,6096000,6858000,NAES_CRM_Opportunities_Import.csv,
REN-0050,Ellis Solar 98 MW TX Solar,,Megan Smethurst,Renewables,Utility-Scale Solar,CLOSED_WON,CLOSED,100,2022-10-17,2022-10-17,2022-10-17,,,98,MWDC,,,,,{},2352000,2352000,2352000,2058000,2352000,2646000,NAES_CRM_Opportunities_Import.csv,account name needs review; account inferred from opportunity name
REN-0051,Madero and Ignacio 100 MW TX Storage Projects,Cb&I Storage Solutions,Megan Smethurst,Renewables,BESS,CLOSED_WON,CLOSED,100,2021-11-01,2021-11-01,2021-11-01,,,100,MWDC,,,,,{},2400000,2400000,2400000,2100000,2400000,2700000,NAES_CRM_Opportunities_Import.csv,
REN-0052,Rayos del Sol 241 MWdc Solar Plant,,Megan Smethurst,Renewables,Utility-Scale Solar,CLOSED_WON,CLOSED,100,2021-12-01,2021-12-01,2021-12-01,,,241,MWDC,,,,,{},5784000,5784000,5784000,5061000,5784000,6507000,NAES_CRM_Opportunities_Import.csv,account name needs review; account inferred from opportunity name
REN-0053,Stagecoach 80 MW Solar Project in GA,,Megan Smethurst,Renewables,Utility-Scale Solar,CLOSED_WON,CLOSED,100,2023-07-01,2023-07-01,2023-07-01,,,80,MWDC,,,,,{},1920000,1920000,1920000,1680000,1920000,2160000,NAES_CRM_Opportunities_Import.csv,account name needs review; account inferred from opportunity name
REN-0054,TX Tres Bahias Solar 254 MW,,Megan Smethurst,Renewables,Utility-Scale Solar,CLOSED_WON,CLOSED,100,2023-07-01,2023-07-01,2023-07-01,,,254,MWDC,,,,,{},6096000,6096000,6096000,5334000,6096000,6858000,NAES_CRM_Opportunities_Import.csv,account name needs review; account inferred from opportunity name
REN-0055,Border 52 MW BESS,BESS,Megan Smethurst,Renewables,BESS,CLOSED_WON,CLOSED,100,2024-05-01,2024-05-01,2024-05-01,,,52,MWDC,,,,,{},1248000,1248000,1248000,1092000,1248000,1404000,NAES_CRM_Opportunities_Import.csv,
REN-0056,Hanford 131.4 MW BESS,BESS,Megan Smethurst,Renewables,BESS,CLOSED_WON,CLOSED,100,2024-05-01,2024-05-01,2024-05-01,,,131.4,MWDC,,,,,{},3153600,3153600,3153600,2759400,3153600,3547800,NAES_CRM_Opportunities_Import.csv,
REN-0057,Harquahala Sun 150 MW Solar and Storage,Cb&I Storage Solutions,Megan Smethurst,Renewables,BESS,CLOSED_WON,CLOSED,100,2024-07-01,2024-07-01,2024-07-01,,,150,MWDC,,,,,{},3600000,3600000,3600000,3150000,3600000,4050000,NAES_CRM_Opportunities_Import.csv,
REN-0058,Henrietta 99.4 MW BESS,BESS,Megan Smethurst,Renewables,BESS,CLOSED_WON,CLOSED,100,2024-05-01,2024-05-01,2024-05-01,,,99.4,MWDC,,,,,{},2385600,2385600,2385600,2087400,2385600,2683800,NAES_CRM_Opportunities_Import.csv,
REN-0059,Malaga 140 MW BESS,BESS,Megan Smethurst,Renewables,BESS,CLOSED_WON,CLOSED,100,2024-05-01,2024-05-01,2024-05-01,,,140,MWDC,,,,,{},3360000,3360000,3360000,2940000,3360000,3780000,NAES_CRM_Opportunities_Import.csv,
REN-0060,Savion Madison Fields 180 MW Solar,,Megan Smethurst,Renewables,Utility-Scale Solar,CLOSED_WON,CLOSED,100,2022-12-23,2022-12-23,2022-12-23,,,180,MWDC,,,,,{},4320000,4320000,4320000,3780000,4320000,4860000,NAES_CRM_Opportunities_Import.csv,account name needs review; account inferred from opportunity name
REN-0061,IE reports on TX BESS assets 10MW ea,BESS,Megan Smethurst,Renewables,BESS,CLOSED_WON,CLOSED,100,2025-01-01,2025-01-01,2025-01-01,,,10,MWDC,2,,,,{},240000,240000,240000,210000,240000,270000,NAES_CRM_Opportunities_Import.csv,
REN-0062,MW-400MWh BESS,BESS,Megan Smethurst,Renewables,BESS,CLOSED_WON,CLOSED,100,2026-01-01,2026-01-01,2026-01-01,,,100,MWDC,,,,,{},2400000,2400000,2400000,2100000,2400000,2700000,NAES_CRM_Opportunities_Import.csv,
REN-0063,MW Biomass O&M Opportunity Tracy Renewable Energy,Renewable Biomass Group,Megan Smethurst,Renewables,Renewables,COMMERCIALS,BEST_CASE,60,2026-07-01,2026-07-01,,,,5,MWDC,,,,,{},120000,120000,72000,105000,120000,135000,NAES_CRM_Opportunities_Import.csv,
REN-0064,Cascade 40 MW Energy Storage,,Megan Smethurst,Renewables,BESS,CLOSED_WON,CLOSED,100,2023-09-01,2023-09-01,2023-09-01,,,40,MWDC,,,,,{},960000,960000,960000,840000,960000,1080000,NAES_CRM_Opportunities_Import.csv,account name needs review; account inferred from opportunity name
REN-0065,"Cradle Solar - 265 MWdc (Brazoria County, TX/ERCOT)",,Megan Smethurst,Renewables,Utility-Scale Solar,CLOSED_WON,CLOSED,100,2025-12-31,2025-12-31,2025-12-31,,,265,MWDC,,,,,{},6360000,6360000,6360000,5565000,6360000,7155000,NAES_CRM_Opportunities_Import.csv,account name needs review; account inferred from opportunity name
REN-0066,Cubico 350 MW Mexico Solar,,Megan Smethurst,Renewables,Utility-Scale Solar,CLOSED_WON,CLOSED,100,2023-04-01,2023-04-01,2023-04-01,,,350,MWDC,,,,,{},8400000,8400000,8400000,7350000,8400000,9450000,NAES_CRM_Opportunities_Import.csv,account name needs review; account inferred from opportunity name
REN-0067,Double Black Diamond 777 MW Solar,,Megan Smethurst,Renewables,Utility-Scale Solar,CLOSED_WON,CLOSED,100,2024-10-01,2024-10-01,2024-10-01,,,777,MWDC,,,,,{},18648000,18648000,18648000,16317000,18648000,20979000,NAES_CRM_Opportunities_Import.csv,account name needs review; account inferred from opportunity name
REN-0068,Eldora 200 MW Energy Storage in TX,,Megan Smethurst,Renewables,BESS,CLOSED_WON,CLOSED,100,2026-01-01,2026-01-01,2026-01-01,,,200,MWDC,,,,,{},4800000,4800000,4800000,4200000,4800000,5400000,NAES_CRM_Opportunities_Import.csv,account name needs review; account inferred from opportunity name
REN-0069,Greenfield GT/RECIP 350 MW + 600 MWH Battery,,Megan Smethurst,Renewables,BESS,COMMERCIALS,BEST_CASE,60,2027-06-01,2027-06-01,,,,350,MWDC,,,,,{},8400000,8400000,5040000,7350000,8400000,9450000,NAES_CRM_Opportunities_Import.csv,account name needs review; account inferred from opportunity name
REN-0070,Harvest Gold 134 MW Solar,,Megan Smethurst,Renewables,Utility-Scale Solar,CLOSED_WON,CLOSED,100,2024-01-01,2024-01-01,2024-01-01,,,134,MWDC,,,,,{},3216000,3216000,3216000,2814000,3216000,3618000,NAES_CRM_Opportunities_Import.csv,account name needs review; account inferred from opportunity name
REN-0071,Martins (111 MW) & Kiowa (100 MW) County Solar RFP,Kiowa County,Megan Smethurst,Renewables,Utility-Scale Solar,CLOSED_WON,CLOSED,100,2024-06-01,2024-06-01,2024-06-01,,,111,MWDC,,,,,{},2664000,2664000,2664000,2331000,2664000,2997000,NAES_CRM_Opportunities_Import.csv,
REN-0072,Northland 4 NY Solar Projects - 576 MW Total,Total Renewables,Megan Smethurst,Renewables,Distributed Generation / C&I Solar,CLOSED_WON,CLOSED,100,2024-01-01,2024-01-01,2024-01-01,,,576,MWDC,,,,,{},13824000,13824000,13824000,12096000,13824000,15552000,NAES_CRM_Opportunities_Import.csv,
REN-0073,Northland NY 300 MW (3 sites) Wind Portfolio,,Megan Smethurst,Renewables,Wind,CLOSED_WON,CLOSED,100,2023-05-01,2023-05-01,2023-05-01,,,300,MWDC,3,,,,{},7200000,7200000,7200000,6300000,7200000,8100000,NAES_CRM_Opportunities_Import.csv,account name needs review; account inferred from opportunity name
REN-0074,O&M for High Desert 130MWDC Solar & BESS,BESS,Megan Smethurst,Renewables,BESS,CLOSED_WON,CLOSED,100,2024-04-01,2024-04-01,2024-04-01,,,130,MWDC,,,,,{},3120000,3120000,3120000,2730000,3120000,3510000,NAES_CRM_Opportunities_Import.csv,
REN-0075,Painted Desert 1000 MW Solar Plus Storage,Painted Desert Energy,Megan Smethurst,Renewables,BESS,CLOSED_WON,CLOSED,100,2026-01-01,2026-01-01,2026-01-01,,,1000,MWDC,,,,,{},24000000,24000000,24000000,21000000,24000000,27000000,NAES_CRM_Opportunities_Import.csv,
REN-0076,Rail Tie 250 MW Wind Project,,Megan Smethurst,Renewables,Wind,CLOSED_WON,CLOSED,100,2024-12-31,2024-12-31,2024-12-31,,,250,MWDC,,,,,{},6000000,6000000,6000000,5250000,6000000,6750000,NAES_CRM_Opportunities_Import.csv,account name needs review; account inferred from opportunity name
REN-0077,Rail Tie 500 MW Wind O&M,"First Wind O&M, Llc",Megan Smethurst,Renewables,Wind,CLOSED_WON,CLOSED,100,2025-06-01,2025-06-01,2025-06-01,,,500,MWDC,,,,,{},12000000,12000000,12000000,10500000,12000000,13500000,NAES_CRM_Opportunities_Import.csv,
REN-0078,Saddlebrook Solar 80 MW in Alberta,,Megan Smethurst,Renewables,Utility-Scale Solar,CLOSED_WON,CLOSED,100,2023-10-01,2023-10-01,2023-10-01,,,80,MWDC,,,,,{},1920000,1920000,1920000,1680000,1920000,2160000,NAES_CRM_Opportunities_Import.csv,account name needs review; account inferred from opportunity name
REN-0079,Scarlet 200 MW Solar,,Megan Smethurst,Renewables,Utility-Scale Solar,CLOSED_WON,CLOSED,100,2023-10-01,2023-10-01,2023-10-01,,,200,MWDC,,,,,{},4800000,4800000,4800000,4200000,4800000,5400000,NAES_CRM_Opportunities_Import.csv,account name needs review; account inferred from opportunity name
REN-0080,Sierra 10 MW Storage in CA,,Megan Smethurst,Renewables,BESS,CLOSED_WON,CLOSED,100,2023-06-01,2023-06-01,2023-06-01,,,10,MWDC,,,,,{},240000,240000,240000,210000,240000,270000,NAES_CRM_Opportunities_Import.csv,account name needs review; account inferred from opportunity name
REN-0081,Nobles 350 MW Solar & Storage,Cb&I Storage Solutions,Megan Smethurst,Renewables,BESS,CLOSED_WON,CLOSED,100,2022-04-01,2022-04-01,2022-04-01,,,350,MWDC,,,,,{},8400000,8400000,8400000,7350000,8400000,9450000,NAES_CRM_Opportunities_Import.csv,
REN-0082,"Texas BESS sites - 10MW, 20MWh",BESS,Megan Smethurst,Renewables,BESS,CLOSED_WON,CLOSED,100,2025-04-01,2025-04-01,2025-04-01,,,10,MWDC,2,,,,{},240000,240000,240000,210000,240000,270000,NAES_CRM_Opportunities_Import.csv,
REN-0083,AM services for a Solar 250-300MW in Azerbaijan,Wind Energy Services Company,Megan Smethurst,Renewables,Utility-Scale Solar,CLOSED_WON,CLOSED,100,2025-07-31,2025-07-31,2025-07-31,,,300,MWDC,,,,,{},7200000,7200000,7200000,6300000,7200000,8100000,NAES_CRM_Opportunities_Import.csv,
REN-0084,Beekman (MISO South) 244 MWdc - AM & NERC Services,Wind Energy Services Company,Megan Smethurst,Renewables,Utility-Scale Solar,COMMERCIALS,BEST_CASE,60,2026-07-01,2026-07-01,,,,244,MWDC,,,,,{},5856000,5856000,3513600,5124000,5856000,6588000,NAES_CRM_Opportunities_Import.csv,
REN-0085,Carlyle 181 MW Solar Portfolio,,Megan Smethurst,Renewables,Utility-Scale Solar,CLOSED_WON,CLOSED,100,2023-09-01,2023-09-01,2023-09-01,,,181,MWDC,,,,,{},4344000,4344000,4344000,3801000,4344000,4887000,NAES_CRM_Opportunities_Import.csv,account name needs review; account inferred from opportunity name
REN-0086,ERCOT 500mw Solar AM,,Megan Smethurst,Renewables,Utility-Scale Solar,CLOSED_WON,CLOSED,100,2022-12-01,2022-12-01,2022-12-01,,,500,MWDC,,,,,{},12000000,12000000,12000000,10500000,12000000,13500000,NAES_CRM_Opportunities_Import.csv,account name needs review; account inferred from opportunity name
REN-0087,Gore Street 200 MW BESS CA,BESS,Megan Smethurst,Renewables,BESS,CLOSED_WON,CLOSED,100,2023-11-24,2023-11-24,2023-11-24,,,200,MWDC,,,,,{},4800000,4800000,4800000,4200000,4800000,5400000,NAES_CRM_Opportunities_Import.csv,
REN-0088,Gore Street BESS NE England 200 MW BESS,BESS,Megan Smethurst,Renewables,BESS,CLOSED_WON,CLOSED,100,2024-10-01,2024-10-01,2024-10-01,,,200,MWDC,,,,,{},4800000,4800000,4800000,4200000,4800000,5400000,NAES_CRM_Opportunities_Import.csv,
